case_id,benchmark,model,n_runs,dar,modal_decision,n_unique_decisions,dcb,has_trajectory,tar,n_unique_trajectories,dar_tar_gap,has_evidence,ecd,scde
DQ-003,dataops,qwen3.5_latest,8,1.0,quarantine,1,1.0,True,1.0,1,0.0,True,0.0,0.0
DQ-004,dataops,claude-opus-4-20250514,3,1.0,quarantine,1,1.0,True,1.0,1,0.0,True,0.0,0.0
DQ-004,dataops,claude-sonnet-4-20250514,3,0.6666666666666666,quarantine,2,0.42061983571430506,True,0.6666666666666666,2,0.0,False,,
DQ-004,dataops,gemini-2.0-flash,3,1.0,escalate,1,1.0,True,1.0,1,0.0,True,0.0,0.0
DQ-004,dataops,gemma4_latest,8,1.0,escalate,1,1.0,True,1.0,1,0.0,True,0.0,0.0
DQ-004,dataops,gpt-oss_20b,8,1.0,escalate,1,1.0,True,1.0,1,0.0,True,0.0,0.0
DQ-004,dataops,granite3.3_latest,8,1.0,auto_fix,1,1.0,False,,0,,False,,
DQ-004,dataops,mistral_7b,8,1.0,auto_fix,1,1.0,False,,0,,False,,
DQ-004,dataops,qwen2.5_7b-instruct,8,1.0,auto_fix,1,1.0,True,1.0,1,0.0,True,0.0,0.0
DQ-004,dataops,qwen3.5_latest,8,1.0,escalate,1,1.0,True,1.0,1,0.0,True,0.0,0.0
DQ-005,dataops,claude-opus-4-20250514,3,1.0,quarantine,1,1.0,True,0.6666666666666666,2,0.33333333333333337,True,0.4920634920634921,0.4920634920634921
DQ-005,dataops,claude-sonnet-4-20250514,3,1.0,quarantine,1,1.0,True,1.0,1,0.0,True,0.6904761904761904,0.6904761904761904
DQ-005,dataops,gemini-2.0-flash,3,1.0,auto_fix,1,1.0,True,1.0,1,0.0,True,0.26666666666666666,0.26666666666666666
DQ-005,dataops,gemma4_latest,8,1.0,auto_fix,1,1.0,True,1.0,1,0.0,True,0.0,0.0
DQ-005,dataops,gpt-oss_20b,8,1.0,auto_fix,1,1.0,True,1.0,1,0.0,True,0.0,0.0
DQ-005,dataops,granite3.3_latest,8,1.0,auto_fix,1,1.0,False,,0,,False,,
DQ-005,dataops,mistral_7b,8,1.0,auto_fix,1,1.0,False,,0,,False,,
DQ-005,dataops,qwen2.5_7b-instruct,8,1.0,quarantine,1,1.0,True,1.0,1,0.0,True,0.0,0.0
DQ-005,dataops,qwen3.5_latest,8,1.0,auto_fix,1,1.0,True,1.0,1,0.0,True,0.0,0.0
DQ-006,dataops,claude-opus-4-20250514,3,1.0,quarantine,1,1.0,True,0.3333333333333333,3,0.6666666666666667,True,0.41269841269841273,0.41269841269841273
DQ-006,dataops,claude-sonnet-4-20250514,3,1.0,quarantine,1,1.0,True,1.0,1,0.0,True,0.3333333333333333,0.3333333333333333
DQ-006,dataops,gemini-2.0-flash,3,1.0,quarantine,1,1.0,True,1.0,1,0.0,True,0.0,0.0
DQ-006,dataops,gemma4_latest,8,1.0,escalate,1,1.0,True,1.0,1,0.0,True,0.0,0.0
DQ-006,dataops,gpt-oss_20b,8,1.0,auto_fix,1,1.0,True,1.0,1,0.0,True,0.125,0.125
DQ-006,dataops,granite3.3_latest,8,1.0,auto_fix,1,1.0,False,,0,,False,,
DQ-006,dataops,mistral_7b,8,1.0,escalate,1,1.0,False,,0,,False,,
DQ-006,dataops,qwen2.5_7b-instruct,8,1.0,quarantine,1,1.0,True,1.0,1,0.0,True,0.0,0.0
DQ-006,dataops,qwen3.5_latest,8,1.0,auto_fix,1,1.0,True,1.0,1,0.0,True,0.0,0.0
DQ-007,dataops,claude-opus-4-20250514,3,0.6666666666666666,quarantine,2,0.42061983571430506,True,0.6666666666666666,2,0.0,False,,
DQ-007,dataops,claude-sonnet-4-20250514,3,1.0,quarantine,1,1.0,True,0.3333333333333333,3,0.6666666666666667,True,0.41269841269841273,0.41269841269841273
DQ-007,dataops,gemini-2.0-flash,3,1.0,escalate,1,1.0,True,1.0,1,0.0,True,,
DQ-007,dataops,gemma4_latest,8,1.0,auto_fix,1,1.0,True,1.0,1,0.0,True,0.0,0.0
DQ-007,dataops,gpt-oss_20b,8,1.0,auto_fix,1,1.0,True,1.0,1,0.0,True,0.0,0.0
DQ-007,dataops,granite3.3_latest,8,1.0,quarantine,1,1.0,False,,0,,False,,
DQ-007,dataops,mistral_7b,8,1.0,auto_fix,1,1.0,False,,0,,False,,
DQ-007,dataops,qwen2.5_7b-instruct,8,1.0,auto_fix,1,1.0,True,1.0,1,0.0,True,0.0,0.0
DQ-007,dataops,qwen3.5_latest,8,1.0,escalate,1,1.0,True,1.0,1,0.0,True,0.0,0.0
DQ-008,dataops,claude-opus-4-20250514,3,0.6666666666666666,quarantine,2,0.42061983571430506,True,0.6666666666666666,2,0.0,False,,
DQ-008,dataops,claude-sonnet-4-20250514,3,0.6666666666666666,quarantine,2,0.42061983571430506,True,0.3333333333333333,3,0.3333333333333333,False,,
DQ-008,dataops,gemini-2.0-flash,3,1.0,quarantine,1,1.0,True,1.0,1,0.0,True,0.0,0.0
DQ-008,dataops,gemma4_latest,8,1.0,escalate,1,1.0,True,1.0,1,0.0,True,0.0,0.0
DQ-008,dataops,gpt-oss_20b,8,0.875,quarantine,2,0.6570490198018722,True,0.875,2,0.0,False,,
DQ-008,dataops,granite3.3_latest,8,1.0,auto_fix,1,1.0,False,,0,,False,,
DQ-008,dataops,mistral_7b,8,1.0,auto_fix,1,1.0,False,,0,,False,,
DQ-008,dataops,qwen2.5_7b-instruct,8,1.0,quarantine,1,1.0,True,1.0,1,0.0,True,0.0,0.0
DQ-008,dataops,qwen3.5_latest,8,1.0,auto_fix,1,1.0,True,1.0,1,0.0,True,0.0,0.0
DQ-009,dataops,claude-opus-4-20250514,3,0.6666666666666666,quarantine,2,0.42061983571430506,True,0.3333333333333333,3,0.3333333333333333,False,,
DQ-009,dataops,claude-sonnet-4-20250514,3,1.0,quarantine,1,1.0,True,0.6666666666666666,2,0.33333333333333337,True,0.75,0.75
DQ-009,dataops,gemini-2.0-flash,3,1.0,escalate,1,1.0,True,0.6666666666666666,2,0.33333333333333337,True,0.16666666666666666,0.16666666666666666
DQ-009,dataops,gemma4_latest,8,1.0,escalate,1,1.0,True,1.0,1,0.0,True,0.0,0.0
DQ-009,dataops,gpt-oss_20b,8,1.0,auto_fix,1,1.0,True,1.0,1,0.0,True,0.0,0.0
DQ-009,dataops,granite3.3_latest,8,1.0,auto_fix,1,1.0,False,,0,,False,,
DQ-009,dataops,mistral_7b,8,1.0,quarantine,1,1.0,False,,0,,False,,
DQ-009,dataops,qwen2.5_7b-instruct,8,1.0,quarantine,1,1.0,True,1.0,1,0.0,True,0.0,0.0
DQ-009,dataops,qwen3.5_latest,8,1.0,escalate,1,1.0,True,1.0,1,0.0,True,0.0,0.0
DQ-010,dataops,claude-opus-4-20250514,3,1.0,quarantine,1,1.0,True,1.0,1,0.0,True,0.5714285714285714,0.5714285714285714
DQ-010,dataops,claude-sonnet-4-20250514,3,1.0,quarantine,1,1.0,True,1.0,1,0.0,True,0.41269841269841273,0.41269841269841273
DQ-010,dataops,gemini-2.0-flash,3,1.0,escalate,1,1.0,True,0.6666666666666666,2,0.33333333333333337,True,0.16666666666666666,0.16666666666666666
DQ-010,dataops,gemma4_latest,8,1.0,escalate,1,1.0,True,1.0,1,0.0,True,0.0,0.0
DQ-010,dataops,gpt-oss_20b,8,1.0,escalate,1,1.0,True,1.0,1,0.0,True,0.0,0.0
DQ-010,dataops,granite3.3_latest,8,1.0,auto_fix,1,1.0,False,,0,,False,,
DQ-010,dataops,mistral_7b,8,1.0,quarantine,1,1.0,False,,0,,False,,
DQ-010,dataops,qwen2.5_7b-instruct,8,1.0,quarantine,1,1.0,True,1.0,1,0.0,True,0.0,0.0
DQ-010,dataops,qwen3.5_latest,8,1.0,escalate,1,1.0,True,1.0,1,0.0,True,0.0,0.0
DQ-011,dataops,claude-opus-4-20250514,3,1.0,quarantine,1,1.0,True,0.6666666666666666,2,0.33333333333333337,True,0.6904761904761904,0.6904761904761904
DQ-011,dataops,claude-sonnet-4-20250514,3,1.0,quarantine,1,1.0,True,1.0,1,0.0,True,0.6309523809523809,0.6309523809523809
DQ-011,dataops,gemini-2.0-flash,3,1.0,escalate,1,1.0,True,0.6666666666666666,2,0.33333333333333337,True,0.16666666666666666,0.16666666666666666
DQ-011,dataops,gemma4_latest,8,1.0,escalate,1,1.0,True,1.0,1,0.0,True,0.0,0.0
DQ-011,dataops,gpt-oss_20b,8,1.0,escalate,1,1.0,False,,0,,False,,
DQ-011,dataops,granite3.3_latest,8,1.0,auto_fix,1,1.0,False,,0,,False,,
DQ-011,dataops,mistral_7b,8,1.0,quarantine,1,1.0,False,,0,,False,,
DQ-011,dataops,qwen2.5_7b-instruct,8,1.0,auto_fix,1,1.0,True,0.875,2,0.125,True,0.04999999999999999,0.04999999999999999
DQ-011,dataops,qwen3.5_latest,8,1.0,escalate,1,1.0,True,1.0,1,0.0,True,0.0,0.0
DQ-012,dataops,claude-opus-4-20250514,3,0.6666666666666666,quarantine,2,0.42061983571430506,True,0.3333333333333333,3,0.3333333333333333,False,,
DQ-012,dataops,claude-sonnet-4-20250514,3,0.6666666666666666,quarantine,2,0.42061983571430506,True,0.6666666666666666,2,0.0,False,,
DQ-012,dataops,gemini-2.0-flash,3,1.0,auto_fix,1,1.0,True,1.0,1,0.0,True,0.3333333333333333,0.3333333333333333
DQ-012,dataops,gemma4_latest,8,1.0,escalate,1,1.0,True,1.0,1,0.0,True,0.0,0.0
DQ-012,dataops,gpt-oss_20b,8,1.0,escalate,1,1.0,True,1.0,1,0.0,True,0.0,0.0
DQ-012,dataops,granite3.3_latest,8,1.0,auto_fix,1,1.0,False,,0,,False,,
DQ-012,dataops,mistral_7b,8,1.0,quarantine,1,1.0,False,,0,,False,,
DQ-012,dataops,qwen2.5_7b-instruct,8,1.0,auto_fix,1,1.0,True,1.0,1,0.0,True,0.0,0.0
DQ-012,dataops,qwen3.5_latest,8,1.0,quarantine,1,1.0,True,1.0,1,0.0,True,0.0,0.0
DQ-013,dataops,claude-opus-4-20250514,3,0.6666666666666666,quarantine,2,0.42061983571430506,True,0.3333333333333333,3,0.3333333333333333,False,,
DQ-013,dataops,claude-sonnet-4-20250514,3,1.0,quarantine,1,1.0,True,0.3333333333333333,3,0.6666666666666667,True,0.6904761904761904,0.6904761904761904
DQ-013,dataops,gemini-2.0-flash,3,1.0,escalate,1,1.0,True,1.0,1,0.0,True,0.0,0.0
DQ-013,dataops,gemma4_latest,8,1.0,escalate,1,1.0,True,1.0,1,0.0,True,0.0,0.0
DQ-013,dataops,gpt-oss_20b,8,1.0,quarantine,1,1.0,True,1.0,1,0.0,True,0.0,0.0
DQ-013,dataops,granite3.3_latest,8,1.0,auto_fix,1,1.0,False,,0,,False,,
DQ-013,dataops,mistral_7b,8,1.0,auto_fix,1,1.0,False,,0,,False,,
DQ-013,dataops,qwen2.5_7b-instruct,8,1.0,auto_fix,1,1.0,True,1.0,1,0.0,True,0.0,0.0
DQ-013,dataops,qwen3.5_latest,8,1.0,escalate,1,1.0,True,1.0,1,0.0,True,0.0,0.0
DQ-014,dataops,claude-opus-4-20250514,3,1.0,quarantine,1,1.0,True,0.6666666666666666,2,0.33333333333333337,True,0.4920634920634921,0.4920634920634921
DQ-014,dataops,claude-sonnet-4-20250514,3,1.0,quarantine,1,1.0,True,0.6666666666666666,2,0.33333333333333337,True,0.38095238095238093,0.38095238095238093
DQ-014,dataops,gemini-2.0-flash,3,1.0,quarantine,1,1.0,True,0.6666666666666666,2,0.33333333333333337,True,0.38095238095238093,0.38095238095238093
DQ-014,dataops,gemma4_latest,8,1.0,escalate,1,1.0,True,1.0,1,0.0,True,0.0,0.0
DQ-014,dataops,gpt-oss_20b,8,1.0,auto_fix,1,1.0,True,1.0,1,0.0,True,0.0,0.0
DQ-014,dataops,granite3.3_latest,8,1.0,auto_fix,1,1.0,False,,0,,False,,
DQ-014,dataops,mistral_7b,8,1.0,quarantine,1,1.0,False,,0,,False,,
DQ-014,dataops,qwen2.5_7b-instruct,8,1.0,auto_fix,1,1.0,True,1.0,1,0.0,True,0.0,0.0
DQ-014,dataops,qwen3.5_latest,8,1.0,quarantine,1,1.0,True,1.0,1,0.0,True,0.0,0.0
DQ-015,dataops,claude-opus-4-20250514,3,1.0,quarantine,1,1.0,True,0.6666666666666666,2,0.33333333333333337,True,0.4920634920634921,0.4920634920634921
DQ-015,dataops,claude-sonnet-4-20250514,3,1.0,quarantine,1,1.0,True,0.6666666666666666,2,0.33333333333333337,True,0.4920634920634921,0.4920634920634921
DQ-015,dataops,gemini-2.0-flash,3,1.0,escalate,1,1.0,True,1.0,1,0.0,True,0.0,0.0
DQ-015,dataops,gemma4_latest,8,1.0,auto_fix,1,1.0,True,1.0,1,0.0,True,0.0,0.0
DQ-015,dataops,gpt-oss_20b,8,1.0,quarantine,1,1.0,True,1.0,1,0.0,True,0.0,0.0
DQ-015,dataops,granite3.3_latest,8,1.0,auto_fix,1,1.0,False,,0,,False,,
DQ-015,dataops,mistral_7b,8,1.0,quarantine,1,1.0,False,,0,,False,,
DQ-015,dataops,qwen2.5_7b-instruct,8,1.0,escalate,1,1.0,True,1.0,1,0.0,True,0.0,0.0
DQ-015,dataops,qwen3.5_latest,8,1.0,auto_fix,1,1.0,True,1.0,1,0.0,True,0.0,0.0
DQ-016,dataops,claude-opus-4-20250514,3,1.0,quarantine,1,1.0,True,0.3333333333333333,3,0.6666666666666667,True,0.6111111111111112,0.6111111111111112
DQ-016,dataops,claude-sonnet-4-20250514,3,1.0,quarantine,1,1.0,True,0.6666666666666666,2,0.33333333333333337,True,0.6904761904761904,0.6904761904761904
DQ-016,dataops,gemini-2.0-flash,3,1.0,escalate,1,1.0,True,1.0,1,0.0,True,0.0,0.0
DQ-016,dataops,gemma4_latest,8,1.0,auto_fix,1,1.0,True,1.0,1,0.0,True,0.0,0.0
DQ-016,dataops,gpt-oss_20b,8,1.0,auto_fix,1,1.0,True,1.0,1,0.0,True,0.0,0.0
DQ-016,dataops,granite3.3_latest,8,1.0,auto_fix,1,1.0,False,,0,,False,,
DQ-016,dataops,mistral_7b,8,1.0,escalate,1,1.0,False,,0,,False,,
DQ-016,dataops,qwen2.5_7b-instruct,8,1.0,escalate,1,1.0,True,1.0,1,0.0,True,0.0,0.0
DQ-016,dataops,qwen3.5_latest,8,1.0,quarantine,1,1.0,True,1.0,1,0.0,True,0.0,0.0
DQ-017,dataops,claude-opus-4-20250514,3,1.0,quarantine,1,1.0,True,0.6666666666666666,2,0.33333333333333337,True,0.0,0.0
DQ-017,dataops,claude-sonnet-4-20250514,3,0.6666666666666666,quarantine,2,0.42061983571430506,True,0.6666666666666666,2,0.0,False,,
DQ-017,dataops,gemini-2.0-flash,3,1.0,escalate,1,1.0,True,0.6666666666666666,2,0.33333333333333337,True,0.16666666666666666,0.16666666666666666
DQ-017,dataops,gemma4_latest,8,1.0,escalate,1,1.0,True,1.0,1,0.0,True,0.0,0.0
DQ-017,dataops,gpt-oss_20b,8,1.0,escalate,1,1.0,True,1.0,1,0.0,True,0.0,0.0
DQ-017,dataops,granite3.3_latest,8,1.0,auto_fix,1,1.0,False,,0,,False,,
DQ-017,dataops,mistral_7b,8,1.0,auto_fix,1,1.0,False,,0,,False,,
DQ-017,dataops,qwen2.5_7b-instruct,8,1.0,escalate,1,1.0,True,1.0,1,0.0,True,0.0,0.0
DQ-017,dataops,qwen3.5_latest,8,1.0,escalate,1,1.0,True,1.0,1,0.0,True,0.0,0.0
DQ-018,dataops,claude-opus-4-20250514,3,0.6666666666666666,quarantine,2,0.42061983571430506,True,0.3333333333333333,3,0.3333333333333333,False,,
DQ-018,dataops,claude-sonnet-4-20250514,3,1.0,quarantine,1,1.0,True,0.3333333333333333,3,0.6666666666666667,True,0.6904761904761904,0.6904761904761904
DQ-018,dataops,gemini-2.0-flash,3,1.0,escalate,1,1.0,True,1.0,1,0.0,True,0.0,0.0
DQ-018,dataops,gemma4_latest,8,1.0,escalate,1,1.0,True,1.0,1,0.0,True,0.0,0.0
DQ-018,dataops,gpt-oss_20b,8,1.0,escalate,1,1.0,True,1.0,1,0.0,True,0.0,0.0
DQ-018,dataops,granite3.3_latest,8,1.0,auto_fix,1,1.0,False,,0,,False,,
DQ-018,dataops,mistral_7b,8,1.0,auto_fix,1,1.0,False,,0,,False,,
DQ-018,dataops,qwen2.5_7b-instruct,8,1.0,escalate,1,1.0,True,1.0,1,0.0,True,0.0,0.0
DQ-018,dataops,qwen3.5_latest,8,1.0,escalate,1,1.0,True,1.0,1,0.0,True,0.0,0.0
DQ-019,dataops,claude-opus-4-20250514,3,1.0,escalate,1,1.0,True,1.0,1,0.0,True,0.26666666666666666,0.26666666666666666
DQ-019,dataops,claude-sonnet-4-20250514,3,0.6666666666666666,quarantine,2,0.42061983571430506,True,0.3333333333333333,3,0.3333333333333333,False,,
DQ-019,dataops,gemini-2.0-flash,3,1.0,escalate,1,1.0,True,1.0,1,0.0,True,0.0,0.0
DQ-019,dataops,gemma4_latest,8,1.0,quarantine,1,1.0,True,1.0,1,0.0,True,0.0,0.0
DQ-019,dataops,gpt-oss_20b,8,1.0,quarantine,1,1.0,True,1.0,1,0.0,True,0.0,0.0
DQ-019,dataops,granite3.3_latest,8,1.0,auto_fix,1,1.0,False,,0,,False,,
DQ-019,dataops,qwen2.5_7b-instruct,8,1.0,escalate,1,1.0,True,1.0,1,0.0,True,0.0,0.0
DQ-019,dataops,qwen3.5_latest,8,1.0,escalate,1,1.0,True,1.0,1,0.0,True,0.0,0.0
DQ-020,dataops,claude-opus-4-20250514,3,1.0,quarantine,1,1.0,True,0.6666666666666666,2,0.33333333333333337,True,0.4920634920634921,0.4920634920634921
DQ-020,dataops,claude-sonnet-4-20250514,3,1.0,quarantine,1,1.0,True,1.0,1,0.0,True,0.3333333333333333,0.3333333333333333
DQ-020,dataops,gemini-2.0-flash,3,1.0,auto_fix,1,1.0,True,1.0,1,0.0,True,0.0,0.0
DQ-020,dataops,gemma4_latest,8,1.0,auto_fix,1,1.0,True,1.0,1,0.0,True,0.0,0.0
DQ-020,dataops,gpt-oss_20b,8,1.0,auto_fix,1,1.0,True,1.0,1,0.0,True,0.0,0.0
DQ-020,dataops,granite3.3_latest,8,1.0,auto_fix,1,1.0,False,,0,,False,,
DQ-020,dataops,qwen2.5_7b-instruct,8,1.0,escalate,1,1.0,True,1.0,1,0.0,True,0.0,0.0
DQ-020,dataops,qwen3.5_latest,8,1.0,auto_fix,1,1.0,True,1.0,1,0.0,True,0.0,0.0
DQ-021,dataops,claude-opus-4-20250514,3,0.6666666666666666,escalate,2,0.42061983571430506,True,0.6666666666666666,2,0.0,False,,
DQ-021,dataops,claude-sonnet-4-20250514,3,1.0,quarantine,1,1.0,True,0.3333333333333333,3,0.6666666666666667,True,0.4920634920634921,0.4920634920634921
DQ-021,dataops,gemini-2.0-flash,3,1.0,escalate,1,1.0,True,1.0,1,0.0,True,0.26666666666666666,0.26666666666666666
DQ-021,dataops,gemma4_latest,8,1.0,escalate,1,1.0,True,1.0,1,0.0,True,0.0,0.0
DQ-021,dataops,gpt-oss_20b,8,1.0,escalate,1,1.0,True,1.0,1,0.0,True,0.0,0.0
DQ-021,dataops,granite3.3_latest,8,1.0,auto_fix,1,1.0,False,,0,,False,,
DQ-021,dataops,qwen2.5_7b-instruct,8,1.0,escalate,1,1.0,True,1.0,1,0.0,True,0.0,0.0
DQ-021,dataops,qwen3.5_latest,8,1.0,escalate,1,1.0,True,1.0,1,0.0,True,0.0,0.0
DQ-022,dataops,claude-opus-4-20250514,3,1.0,quarantine,1,1.0,True,0.3333333333333333,3,0.6666666666666667,True,0.41269841269841273,0.41269841269841273
DQ-022,dataops,claude-sonnet-4-20250514,3,1.0,quarantine,1,1.0,True,0.6666666666666666,2,0.33333333333333337,True,0.5515873015873015,0.5515873015873015
DQ-022,dataops,gemini-2.0-flash,3,1.0,quarantine,1,1.0,True,1.0,1,0.0,True,0.0,0.0
DQ-022,dataops,gemma4_latest,8,1.0,auto_fix,1,1.0,True,1.0,1,0.0,True,0.0,0.0
DQ-022,dataops,gpt-oss_20b,8,1.0,auto_fix,1,1.0,True,1.0,1,0.0,True,0.0,0.0
DQ-022,dataops,granite3.3_latest,8,1.0,auto_fix,1,1.0,False,,0,,False,,
DQ-022,dataops,qwen2.5_7b-instruct,8,1.0,escalate,1,1.0,True,1.0,1,0.0,True,0.0,0.0
DQ-022,dataops,qwen3.5_latest,8,1.0,auto_fix,1,1.0,True,1.0,1,0.0,True,0.0,0.0
DQ-023,dataops,claude-opus-4-20250514,3,1.0,quarantine,1,1.0,True,0.6666666666666666,2,0.33333333333333337,True,0.22222222222222224,0.22222222222222224
DQ-023,dataops,claude-sonnet-4-20250514,3,1.0,quarantine,1,1.0,True,0.6666666666666666,2,0.33333333333333337,True,0.5714285714285714,0.5714285714285714
DQ-023,dataops,gemini-2.0-flash,3,1.0,escalate,1,1.0,True,1.0,1,0.0,True,0.0,0.0
DQ-023,dataops,gemma4_latest,8,1.0,escalate,1,1.0,True,1.0,1,0.0,True,0.0,0.0
DQ-023,dataops,gpt-oss_20b,8,1.0,quarantine,1,1.0,True,1.0,1,0.0,True,0.0,0.0
DQ-023,dataops,granite3.3_latest,8,1.0,auto_fix,1,1.0,False,,0,,False,,
DQ-023,dataops,qwen2.5_7b-instruct,8,1.0,auto_fix,1,1.0,True,1.0,1,0.0,True,0.0,0.0
DQ-023,dataops,qwen3.5_latest,8,1.0,auto_fix,1,1.0,True,1.0,1,0.0,True,0.0,0.0
DQ-024,dataops,claude-opus-4-20250514,3,0.6666666666666666,quarantine,2,0.42061983571430506,True,1.0,1,-0.33333333333333337,False,,
DQ-024,dataops,claude-sonnet-4-20250514,3,1.0,quarantine,1,1.0,True,0.3333333333333333,3,0.6666666666666667,True,0.6904761904761904,0.6904761904761904
DQ-024,dataops,gemini-2.0-flash,3,0.6666666666666666,auto_fix,2,0.42061983571430506,True,0.6666666666666666,2,0.0,False,,
DQ-024,dataops,gemma4_latest,8,1.0,escalate,1,1.0,True,1.0,1,0.0,True,0.0,0.0
DQ-024,dataops,gpt-oss_20b,8,0.875,escalate,2,0.6570490198018722,True,0.875,2,0.0,False,,
DQ-024,dataops,granite3.3_latest,8,1.0,auto_fix,1,1.0,False,,0,,False,,
DQ-024,dataops,qwen2.5_7b-instruct,8,1.0,escalate,1,1.0,True,1.0,1,0.0,True,0.0,0.0
DQ-024,dataops,qwen3.5_latest,8,1.0,auto_fix,1,1.0,True,1.0,1,0.0,True,0.0,0.0
DQ-025,dataops,claude-opus-4-20250514,3,1.0,quarantine,1,1.0,True,0.6666666666666666,2,0.33333333333333337,True,0.7962962962962963,0.7962962962962963
DQ-025,dataops,claude-sonnet-4-20250514,3,1.0,quarantine,1,1.0,True,0.6666666666666666,2,0.33333333333333337,True,0.4920634920634921,0.4920634920634921
DQ-025,dataops,gemini-2.0-flash,3,0.6666666666666666,quarantine,2,0.42061983571430506,True,0.6666666666666666,2,0.0,False,,
DQ-025,dataops,gemma4_latest,8,1.0,escalate,1,1.0,True,1.0,1,0.0,True,0.0,0.0
DQ-025,dataops,gpt-oss_20b,8,1.0,quarantine,1,1.0,True,1.0,1,0.0,True,0.0,0.0
DQ-025,dataops,granite3.3_latest,8,1.0,auto_fix,1,1.0,False,,0,,False,,
DQ-025,dataops,qwen2.5_7b-instruct,8,1.0,escalate,1,1.0,True,1.0,1,0.0,True,0.0,0.0
DQ-025,dataops,qwen3.5_latest,8,1.0,auto_fix,1,1.0,True,1.0,1,0.0,True,0.0,0.0
DQ-026,dataops,claude-sonnet-4-20250514,3,1.0,quarantine,1,1.0,True,1.0,1,0.0,True,0.0,0.0
DQ-026,dataops,gemini-2.0-flash,3,1.0,escalate,1,1.0,True,1.0,1,0.0,True,0.0,0.0
DQ-026,dataops,gemma4_latest,8,1.0,escalate,1,1.0,True,1.0,1,0.0,True,0.0,0.0
DQ-026,dataops,gpt-oss_20b,8,0.875,quarantine,2,0.6570490198018722,True,0.875,2,0.0,False,,
DQ-026,dataops,granite3.3_latest,8,1.0,auto_fix,1,1.0,False,,0,,False,,
DQ-026,dataops,qwen2.5_7b-instruct,8,1.0,escalate,1,1.0,True,1.0,1,0.0,True,0.0,0.0
DQ-026,dataops,qwen3.5_latest,8,1.0,escalate,1,1.0,True,1.0,1,0.0,True,0.0,0.0
